,,,,,,,,,,,,,,,,,,,,,,,
MANTENIMIENTO DE SUBESTACIONES ELECTRICAS,,,,,,,,,,,,,,,,,,,,,,,
,"FECHA 2 o CURSO 2:
Fecha de inicio: 04 de agosto",,"PRECIO REGULAR: S/ 950.00
PRECIO PRE VENTA 1: S/ 400.00 
      (Fin preventa 1: 05/07)","PRECIO REGULAR: S/ 950.00
PRECIO PRE VENTA 1: S/ 400.00 
      (Fin preventa 2: 12/07)","PRECIO REGULAR: S/ 950.00
PRECIO PRE VENTA 1: S/ 400.00 
    (Fin preventa 1: 19/07)
","PRECIO REGULAR: S/ 950.00
PRECIO PRE VENTA 1: S/ 400.00 (Fin preventa 1: 26/07)","PRECIO REGULAR: S/ 950.00
PRECIO PRE VENTA 1: S/ 400.00 (Fin preventa 1: 02/08)","PRECIO REGULAR: S/ 950.00
PRECIO PRE VENTA 1: S/ 400.00 (Fin preventa 1: 09/08)","PRECIO REGULAR: S/ 950.00
PRECIO PRE VENTA 2: S/ 500.00 (Fin preventa 2: 16/08)","PRECIO REGULAR: S/ 950.00
PRECIO OFERTA: S/ 500.00 (Fin oferta: 23/08)","PRECIO REGULAR: S/ 950.00
PRECIO OFERTA: S/ 600.00 (Fin oferta: 30/08)","INICIO DE CURSO
FULL DAY S/400",,,,,,,,,,,
,"FECHA 3 o CURSO 3:
Fecha de inicio: 01 de setiembre",,,,,,,,,,Preventa S/. 350,Preventa S/. 350,Preventa S/. 350,Preventa S/. 350,Preventa S/. 350,Preventa S/. 350,Oferta S/. 400,Oferta S/. 400,Regular S/. 500,"INICIO DE CURSO
FULL DAY S/400",,,
,,,,,,,,,,,,,,,,,,,,,,,
VIRTUAL - FECHAS ,,22 al 28 de Junio ,29 al 5 de de Julio ,6 al 12 de Julio ,13 al 19 de Julio ,20 al 26 de Julio ,27  al 02 de Agosto,03 al 09 de Agosto,10 al 16 de Agosto ,17 al 23 de Agosto ,24 al 30 de Agosto,31 al 6 de Sep,7 al 13 de Sep,14 al 20 de Sep,21 al 27 de Sep,28 al 4 de Oct,5 al 11 de Oct,12 al 18 de Oct,19 al 25 de Oct.,26 al 1 de Nov.,2 al 8 de Nov.,9 al 15 de Nov.,16 al 22 de Nov
"BANCO DE CONDENSADORES

MODALIDAD: VIRTUAL

PRECIO REGULAR: S/ 450.00","FECHA 1 o CURSO 1:
Fecha de inicio: 07 de julio","PRECIO REGULAR: S/ 450.00
PRECIO PRE VENTA 1: S/ 150.00 
   (Fin preventa 1: 28/06)","PRECIO REGULAR: S/ 550.00
PRECIO OFERTA: S/ 150.00 
     (Fin oferta: 05/07)","INICIO DE CURSO
FULL DAY S/150",,,,,,,,,,,,,,,,,,,
,"FECHA 2 o CURSO 2:
Fecha de inicio: 04 de agosto",,"PRECIO REGULAR: S/ 450.00
PRECIO PRE VENTA 1: S/ 99.00 
      (Fin preventa 1: 05/07)","PRECIO REGULAR: S/ 450.00
PRECIO PRE VENTA 1: S/ 99.00 
      (Fin preventa 1: 12/07)","PRECIO REGULAR: S/ 450.00
PRECIO PRE VENTA 1: S/ 99.00 
      (Fin preventa 1: 19/07)","PRECIO REGULAR: S/ 450.00
PRECIO PRE VENTA 1: S/ 99.00 
      (Fin preventa 1: 26/07)","PRECIO REGULAR: S/ 450.00
PRECIO PRE VENTA 1: S/ 99.00 
      (Fin preventa 1: 02/08)","PRECIO REGULAR: S/ 450.00
PRECIO PRE VENTA 1: S/ 99.00 
      (Fin preventa 1: 09/08)","PRECIO REGULAR: S/ 450.00
PRECIO PRE VENTA 2: S/ 15.00 
      (Fin preventa 2: 16/08)","PRECIO REGULAR: S/ 450.00
PRECIO PRE VENTA 2: S/ 15.00 
      (Fin preventa 2: 23/08)","PRECIO REGULAR: S/ 450.00
PRECIO OFERTA: S/ 200.00 (Fin oferta: 30/08)","INICIO DE CURSO
FULL DAY S/150",,,,,,,,,,,
,"FECHA 3 o CURSO 3:
Fecha de inicio: 01 de setiembre",,,,,,,,,,Preventa S/. 99,Preventa S/. 99,Preventa S/. 99,Preventa S/. 99,Preventa S/. 99,Preventa S/. 99,Oferta S/. 150,Oferta S/. 150,Regular S/. 200,"INICIO DE CURSO
FULL DAY S/150",,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
TERMINACION 3M,,,,,,,,,,,,,,,,,,,,,,,
TERMINACION TIPO BOTA ,,,,,,,,,,,,,,,,,,,,,,,
